Condition	Selection	region	mean_tail_length	median_tail_length
Red1DEL-FTP_RNAIP	IP	SPAC637.03	14.16	14.16
Red1DEL-FTP_RNAIP	IP	SPAC637.04	13.2225	12.73
Red1DEL-FTP_RNAIP	IP	SPAC637.05c	22.6481818181818	22.16
Red1DEL-FTP_RNAIP	IP	SPAC637.07	19.5405555555556	19.095
Red1DEL-FTP_RNAIP	IP	SPAC637.08	73.395	73.395
Red1DEL-FTP_RNAIP	IP	SPAC637.09	9.12	9.12
Red1DEL-FTP_RNAIP	IP	SPAC637.10c	25.7905882352941	23.1
Red1DEL-FTP_RNAIP	IP	SPAC637.12c	44.045	44.045
Red1DEL-FTP_RNAIP	IP	SPAC637.13c	16.81	16.81
Red1DEL-FTP_RNAIP	IP	SPAC644.04	43.495	45.24
Red1DEL-FTP_RNAIP	IP	SPAC644.05c	37.96	37.96
Red1DEL-FTP_RNAIP	IP	SPAC644.06c	30.06	30.06
Red1DEL-FTP_RNAIP	IP	SPAC644.07	12.24	9.62
Red1DEL-FTP_RNAIP	IP	SPAC644.08	19.19	19.19
Red1DEL-FTP_RNAIP	IP	SPAC644.09	55.8857142857143	38.29
Red1DEL-FTP_RNAIP	IP	SPAC644.10	18.9975	14.875
Red1DEL-FTP_RNAIP	IP	SPAC644.11c	28.7225	26.73
Red1DEL-FTP_RNAIP	IP	SPAC644.12	18.18	18.18
Red1DEL-FTP_RNAIP	IP	SPAC644.14c	15.48	15.48
Red1DEL-FTP_RNAIP	IP	SPAC644.15	25.1115384615385	21.59
Red1DEL-FTP_RNAIP	IP	SPAC644.16	27.77	24.2
Red1DEL-FTP_RNAIP	IP	SPAC644.17c	24.508	22.79
Red1DEL-FTP_RNAIP	IP	SPAC644.18c	22.0875	19.385
Red1DEL-FTP_RNAIP	IP	SPAC664.01c	13.45	13.45
Red1DEL-FTP_RNAIP	IP	SPAC664.02c	29.56	24.63
Red1DEL-FTP_RNAIP	IP	SPAC664.03	23.2275	21.675
Red1DEL-FTP_RNAIP	IP	SPAC664.04c	26.5005405405405	21.27
Red1DEL-FTP_RNAIP	IP	SPAC664.05	46.2403174603175	33
Red1DEL-FTP_RNAIP	IP	SPAC664.06	26.29	26.6
Red1DEL-FTP_RNAIP	IP	SPAC664.09	14.77	14.77
Red1DEL-FTP_RNAIP	IP	SPAC664.10	20.37	20.37
Red1DEL-FTP_RNAIP	IP	SPAC664.11	21.85	20.05
Red1DEL-FTP_RNAIP	IP	SPAC664.12c	40.6071428571429	37.18
Red1DEL-FTP_RNAIP	IP	SPAC664.13	31.85	31.85
Red1DEL-FTP_RNAIP	IP	SPAC664.14	53.3616666666667	43.86
Red1DEL-FTP_RNAIP	IP	SPAC688.03c	34.492380952381	36.99
Red1DEL-FTP_RNAIP	IP	SPAC688.04c	36.3875	34.595
Red1DEL-FTP_RNAIP	IP	SPAC688.06c	32.704	36.34
Red1DEL-FTP_RNAIP	IP	SPAC688.08	25.615	25.615
Red1DEL-FTP_RNAIP	IP	SPAC688.09	46.8	46.8
Red1DEL-FTP_RNAIP	IP	SPAC688.10	25.34	25.34
Red1DEL-FTP_RNAIP	IP	SPAC688.11	20.32	17.875
Red1DEL-FTP_RNAIP	IP	SPAC688.12c	47.2225	33.56
Red1DEL-FTP_RNAIP	IP	SPAC688.13	21.4066666666667	14.88
Red1DEL-FTP_RNAIP	IP	SPAC688.14	19.805	19.805
Red1DEL-FTP_RNAIP	IP	SPAC688.16	32.086	32.49
Red1DEL-FTP_RNAIP	IP	SPAC694.02	17.9408333333333	11.115
Red1DEL-FTP_RNAIP	IP	SPAC694.04c	39.56	31.95
Red1DEL-FTP_RNAIP	IP	SPAC694.05c	22.3036956521739	20.01
Red1DEL-FTP_RNAIP	IP	SPAC694.06c	18.8	18.8
Red1DEL-FTP_RNAIP	IP	SPAC6B12.02c	25.045	25.045
Red1DEL-FTP_RNAIP	IP	SPAC6B12.05c	25.8466666666667	21.08
Red1DEL-FTP_RNAIP	IP	SPAC6B12.06c	37.25	37.25
Red1DEL-FTP_RNAIP	IP	SPAC6B12.07c	23.5366666666667	18.47
Red1DEL-FTP_RNAIP	IP	SPAC6B12.08	38.54	38.54
Red1DEL-FTP_RNAIP	IP	SPAC6B12.09	29.1275	24.03
Red1DEL-FTP_RNAIP	IP	SPAC6B12.11	29.465	29.465
Red1DEL-FTP_RNAIP	IP	SPAC6B12.12	30.0077777777778	20.36
Red1DEL-FTP_RNAIP	IP	SPAC6B12.13	38.7283333333333	19.86
Red1DEL-FTP_RNAIP	IP	SPAC6B12.14c	20.8066666666667	25.34
Red1DEL-FTP_RNAIP	IP	SPAC6B12.15	28.3267142857143	22.91
Red1DEL-FTP_RNAIP	IP	SPAC6B12.18	32.3881818181818	20.41
Red1DEL-FTP_RNAIP	IP	SPAC6B12.19	24.02	24.02
Red1DEL-FTP_RNAIP	IP	SPAC6C3.02c	15.97	15.97
Red1DEL-FTP_RNAIP	IP	SPAC6C3.03c	41.4542857142857	38.22
Red1DEL-FTP_RNAIP	IP	SPAC6C3.04	53.535	53.535
Red1DEL-FTP_RNAIP	IP	SPAC6C3.06c	26.2583333333333	27.56
Red1DEL-FTP_RNAIP	IP	SPAC6C3.08	19.6533333333333	17.69
Red1DEL-FTP_RNAIP	IP	SPAC6C3.09	14.6433333333333	12.39
Red1DEL-FTP_RNAIP	IP	SPAC6F12.03c	12.18	12.18
Red1DEL-FTP_RNAIP	IP	SPAC6F12.04	31.73	30.41
Red1DEL-FTP_RNAIP	IP	SPAC6F12.05c	12.348	11.38
Red1DEL-FTP_RNAIP	IP	SPAC6F12.06	19.6725	19.33
Red1DEL-FTP_RNAIP	IP	SPAC6F12.07	28.6821428571429	23.96
Red1DEL-FTP_RNAIP	IP	SPAC6F12.08c	17.05	17.05
Red1DEL-FTP_RNAIP	IP	SPAC6F12.09	11.46	11.46
Red1DEL-FTP_RNAIP	IP	SPAC6F12.10c	21.1	18.08
Red1DEL-FTP_RNAIP	IP	SPAC6F12.11c	35.09	39.855
Red1DEL-FTP_RNAIP	IP	SPAC6F12.12	20.57	20.57
Red1DEL-FTP_RNAIP	IP	SPAC6F12.13c	25.9313888888889	19.295
Red1DEL-FTP_RNAIP	IP	SPAC6F12.14	18.0533333333333	17.79
Red1DEL-FTP_RNAIP	IP	SPAC6F12.15c	32.8925	33.275
Red1DEL-FTP_RNAIP	IP	SPAC6F12.16c	82.99	82.99
Red1DEL-FTP_RNAIP	IP	SPAC6F12.17	60.2933333333333	50.51
Red1DEL-FTP_RNAIP	IP	SPAC6F6.01	13.69	13.69
Red1DEL-FTP_RNAIP	IP	SPAC6F6.02c	49.92	49.92
Red1DEL-FTP_RNAIP	IP	SPAC6F6.03c	24.56	20.98
Red1DEL-FTP_RNAIP	IP	SPAC6F6.04c	74.585	61.565
Red1DEL-FTP_RNAIP	IP	SPAC6F6.05	26.1629411764706	26.15
Red1DEL-FTP_RNAIP	IP	SPAC6F6.07c	50.6928260869565	39.03
Red1DEL-FTP_RNAIP	IP	SPAC6F6.08c	44.3489655172414	25.45
Red1DEL-FTP_RNAIP	IP	SPAC6F6.09	20.475	20.475
Red1DEL-FTP_RNAIP	IP	SPAC6F6.10c	20.55	20.55
Red1DEL-FTP_RNAIP	IP	SPAC6F6.11c	35.83	35.83
Red1DEL-FTP_RNAIP	IP	SPAC6F6.12	27.328	20.29
Red1DEL-FTP_RNAIP	IP	SPAC6F6.13c	15.13	15.13
Red1DEL-FTP_RNAIP	IP	SPAC6F6.15	28.7971428571429	23.085
Red1DEL-FTP_RNAIP	IP	SPAC6F6.16c	29.38	29.38
Red1DEL-FTP_RNAIP	IP	SPAC6F6.17	60.38	60.38
Red1DEL-FTP_RNAIP	IP	SPAC6F6.19	13.06	13.06
Red1DEL-FTP_RNAIP	IP	SPAC6G10.02c	16.845	16.845
Red1DEL-FTP_RNAIP	IP	SPAC6G10.03c	19.47	24.02
Red1DEL-FTP_RNAIP	IP	SPAC6G10.04c	40.6775	33.67
Red1DEL-FTP_RNAIP	IP	SPAC6G10.05c	27.93	27.93
Red1DEL-FTP_RNAIP	IP	SPAC6G10.07	24.826	10.86
Red1DEL-FTP_RNAIP	IP	SPAC6G10.08	34.44125	15.38
Red1DEL-FTP_RNAIP	IP	SPAC6G10.09	21.29	21.29
Red1DEL-FTP_RNAIP	IP	SPAC6G10.10c	9.5	9.5
Red1DEL-FTP_RNAIP	IP	SPAC6G10.11c	28.2886144578313	22.425
Red1DEL-FTP_RNAIP	IP	SPAC6G10.12c	22.855	22.855
Red1DEL-FTP_RNAIP	IP	SPAC6G9.01c	28.8566666666667	31.08
Red1DEL-FTP_RNAIP	IP	SPAC6G9.02c	22.92	22.92
Red1DEL-FTP_RNAIP	IP	SPAC6G9.03c	39.03	39.03
Red1DEL-FTP_RNAIP	IP	SPAC6G9.04	53.8133333333333	38.97
Red1DEL-FTP_RNAIP	IP	SPAC6G9.05	12.28	12.28
Red1DEL-FTP_RNAIP	IP	SPAC6G9.06c	23.175	23.175
Red1DEL-FTP_RNAIP	IP	SPAC6G9.07c	22.02	20.96
Red1DEL-FTP_RNAIP	IP	SPAC6G9.08	38.11	27.27
Red1DEL-FTP_RNAIP	IP	SPAC6G9.09c	22.9297619047619	17.77
Red1DEL-FTP_RNAIP	IP	SPAC6G9.11	27.70875	27.46
Red1DEL-FTP_RNAIP	IP	SPAC6G9.12	20.6433333333333	15.815
Red1DEL-FTP_RNAIP	IP	SPAC6G9.13c	53.64	53.64
Red1DEL-FTP_RNAIP	IP	SPAC6G9.14	25.93	25.93
Red1DEL-FTP_RNAIP	IP	SPAC6G9.15c	25.615	25.265
Red1DEL-FTP_RNAIP	IP	SPAC6G9.16c	69.655	69.655
Red1DEL-FTP_RNAIP	IP	SPAC732.01	40.8477777777778	28.25
Red1DEL-FTP_RNAIP	IP	SPAC732.02c	37.03	37.03
Red1DEL-FTP_RNAIP	IP	SPAC750.03c	10.09	10.09
Red1DEL-FTP_RNAIP	IP	SPAC750.04c	31.6733333333333	32.65
Red1DEL-FTP_RNAIP	IP	SPAC750.05c	23.16875	25.91
Red1DEL-FTP_RNAIP	IP	SPAC750.06c	16.325	16.325
Red1DEL-FTP_RNAIP	IP	SPAC767.01c	42.99	42.99
Red1DEL-FTP_RNAIP	IP	SPAC7D4.02c	32.4	25.755
Red1DEL-FTP_RNAIP	IP	SPAC7D4.03c	27.1066666666667	21.8
Red1DEL-FTP_RNAIP	IP	SPAC7D4.04	57.995	57.995
Red1DEL-FTP_RNAIP	IP	SPAC7D4.05	33.655	33.655
Red1DEL-FTP_RNAIP	IP	SPAC7D4.06c	28.12	28.12
Red1DEL-FTP_RNAIP	IP	SPAC7D4.07c	25.0727419354839	21.96
Red1DEL-FTP_RNAIP	IP	SPAC7D4.08	30.97	22.455
Red1DEL-FTP_RNAIP	IP	SPAC7D4.10	31.0833333333333	25.37
Red1DEL-FTP_RNAIP	IP	SPAC7D4.11c	17.81	17.81
Red1DEL-FTP_RNAIP	IP	SPAC7D4.12c	37.6566666666667	42.99
Red1DEL-FTP_RNAIP	IP	SPAC7D4.13c	31.29	31.29
Red1DEL-FTP_RNAIP	IP	SPAC7D4.14c	26.8490909090909	29.73
Red1DEL-FTP_RNAIP	IP	SPAC7D4.15c	30.78	30.78
Red1DEL-FTP_RNAIP	IP	SPAC806.02c	18.02	18.02
Red1DEL-FTP_RNAIP	IP	SPAC806.03c	28.6122727272727	25.105
Red1DEL-FTP_RNAIP	IP	SPAC806.04c	43.4642857142857	20.51
Red1DEL-FTP_RNAIP	IP	SPAC806.05	20.26	20.26
Red1DEL-FTP_RNAIP	IP	SPAC806.06c	16.85	16.85
Red1DEL-FTP_RNAIP	IP	SPAC806.07	21.3266666666667	20.1
Red1DEL-FTP_RNAIP	IP	SPAC806.08c	38.39	38.39
Red1DEL-FTP_RNAIP	IP	SPAC806.11	25.8907692307692	24.09
Red1DEL-FTP_RNAIP	IP	SPAC821.04c	23.208	23.2
Red1DEL-FTP_RNAIP	IP	SPAC821.05	28.944	32.89
Red1DEL-FTP_RNAIP	IP	SPAC821.06	20.3633333333333	17.71
Red1DEL-FTP_RNAIP	IP	SPAC821.07c	42.7	42.7
Red1DEL-FTP_RNAIP	IP	SPAC821.10c	24.0675757575758	22.02
Red1DEL-FTP_RNAIP	IP	SPAC821.11	24.8745454545455	20.51
Red1DEL-FTP_RNAIP	IP	SPAC821.12	31.3566666666667	24.62
Red1DEL-FTP_RNAIP	IP	SPAC821.13c	14.205	14.205
Red1DEL-FTP_RNAIP	IP	SPAC823.03	17.5766666666667	16.39
Red1DEL-FTP_RNAIP	IP	SPAC823.04	11.7733333333333	11.37
Red1DEL-FTP_RNAIP	IP	SPAC823.05c	17.36	19.12
